,cell_specimen_id,rheobase_sweep_num,thumbnail_sweep_num,vrest,ri,sag,tau,vm_for_sag,f_i_curve_slope,adaptation,latency,avg_isi,upstroke_downstroke_ratio_long_square,peak_v_long_square,peak_t_long_square,trough_v_long_square,trough_t_long_square,fast_trough_v_long_square,fast_trough_t_long_square,slow_trough_v_long_square,slow_trough_t_long_square,threshold_v_long_square,threshold_i_long_square,threshold_t_long_square,upstroke_downstroke_ratio_ramp,peak_v_ramp,peak_t_ramp,trough_v_ramp,trough_t_ramp,fast_trough_v_ramp,fast_trough_t_ramp,slow_trough_v_ramp,slow_trough_t_ramp,threshold_v_ramp,threshold_i_ramp,threshold_t_ramp,upstroke_downstroke_ratio_short_square,peak_v_short_square,peak_t_short_square,trough_v_short_square,trough_t_short_square,fast_trough_v_short_square,fast_trough_t_short_square,slow_trough_v_short_square,slow_trough_t_short_square,threshold_v_short_square,threshold_i_short_square,threshold_t_short_square
0,1003020818,50,53,-60.057487,99.99991953372955,0.036005244,9.653708951284154,-70.09375,0.1200000007629289,0.131395696437352,0.0291,190.68,5.317499268243994,32.29999923706055,0.58996,-49.64375305175781,0.60044,-48.1875,0.5963200000000001,,,-31.80000114440918,220.0,0.5895,5.216674909168744,31.075,7.67963,-43.95313,7.68784,-42.887505,7.684400000000001,-43.95312881469727,7.68784,-29.54375,179.5,7.679130000000001,3.564488024596152,37.70759,0.5033057142857144,-60.69821,1.054292857142857,-53.622772,0.5096371428571429,,,-34.55268,680.0,0.50293
0,1003305641,13,23,-74.31213,144.90631222724917,0.013105862,6.949417657413243,-92.79375,1.0925413825586825,0.0053649461726891,0.01548,15.61142857142857,1.6181245300048,23.737499237060547,0.61232,-53.681251525878906,0.61622,-53.38124847412109,0.61328,,,-37.32500076293945,59.999996185302734,0.61194,1.5483965477426789,21.6625,2.8923866666666664,-56.331253,2.894673333333333,-56.020832,2.893406666666667,,,-37.291668,59.875,2.8920266666666663,1.5944996239326674,24.681252,0.50348,-75.018745,1.00488,-57.5,0.50442,,,-45.15,330.0,0.50314
0,1003313398,22,26,-69.91747,141.2133127450943,0.022894228,7.493901699027637,-85.8875,0.2849999999999996,0.0864711523571118,0.01892,23.799999999999983,1.7725388358777077,17.924999237060547,0.5355800000000001,-48.89374923706055,0.53966,-48.493751525878906,0.53684,,,-33.037498474121094,130.0,0.53522,1.6272760325256077,12.01875,7.931613333333332,-49.86667,7.934666666666668,-48.868748,7.933166666666668,-49.86666997273763,7.934666666666668,-31.435417,185.83333,7.9312,1.8470683106879109,20.95625,0.50331,-71.42813,1.2188599999999998,-52.081253,0.5044200000000001,,,-42.99375,450.0,0.50298
0,1003321825,18,21,-71.79331,51.71878635883331,0.039036784,7.601788762194459,-88.25,0.8249999999999981,0.0114406176388978,0.0148,25.22769230769231,2.0189323598625384,22.268749237060547,0.53472,-48.39375305175781,0.53956,-47.09999847412109,0.53624,-48.39375305175781,0.53956,-30.799999237060547,150.0,0.5343600000000001,1.8644083029797367,15.514584,7.406126666666666,-47.99167,7.410340000000001,-46.958332,7.408293333333333,-47.99166870117188,7.410340000000001,-27.93125,172.70833,7.405693333333333,1.959849309576292,27.531252,0.50344,-72.03125,1.59734,-51.61875,0.5050600000000001,,,-37.800003,469.99997,0.50312
0,1003336938,18,20,-65.802895,122.78129160404204,0.050348625,8.369469970142692,-79.425,1.1700934579439282,0.0029458985104105,0.00724,14.6955223880597,1.6068117327137423,25.95625114440918,0.5153800000000001,-46.92499923706055,0.51646,-46.86250305175781,0.5164,,,-27.181251525878903,300.0,0.515,1.0652975460457206,12.020833,14.323313333333331,-40.912502,14.324813333333331,-40.86666615804037,14.3247,,,-18.302084,345.625,14.322846666666669,1.7407777184472175,31.550001,0.5033,-65.706245,1.15606,-50.075,0.50446,,,-36.637505,580.0,0.5029600000000001
0,601506507,9,38,-73.26687,222.9165732860565,0.013307713,11.688679369004726,-99.6875,0.0615124148112831,0.1487640449438218,0.03444,22.249999999999996,3.1033445936097084,22.25,0.6414,-45.0,0.64432,-44.62500381469727,0.64354,,,-33.843753814697266,29.999998092651367,0.6409,2.9919861202234457,22.031252,1.6556799999999998,-45.750004,1.6786599999999998,-44.96875,1.6579800000000002,-45.75000381469727,1.6786599999999998,-32.40625,29.0,1.65518,3.0346967855888423,37.041668,0.5035166666666666,-74.22396,1.1846866666666669,-49.947918,0.5056833333333334,,,-34.875,410.0,0.50312
0,601790961,35,37,-80.49094,157.421812415123,0.035202306,17.4862794778298,-98.50001,0.3923828972919163,0.2096053374659933,0.0287399999999999,120.85714285714288,2.100436206191834,6.78125,0.5824400000000001,-68.25,0.58388,-68.03125,0.5837399999999999,,,-54.09375381469727,110.0,0.58206,2.0852176613232887,13.71875,5.38462,-66.8125,5.38602,-66.6875,5.3859,,,-52.15625,122.12501,5.38422,2.0202490701411704,11.229167,0.5033333333333333,-81.072914,1.0667933333333333,-70.84376,0.5045733333333333,,,-54.6875,560.0,0.5029866666666666
0,601803754,14,53,-65.99248,176.53851211071014,0.21268447,21.39195707784432,-87.59376,0.1420991852938707,,0.0918799999999999,,1.9883578894113847,38.125,0.79508,-49.625,0.81426,-49.00000381469727,0.79602,,,-33.28125,90.0,0.7947200000000001,1.92201183874375,38.4375,4.38864,-49.500004,4.38966,-49.375,4.38956,-49.40625381469727,4.406,-33.375004,97.25,4.3883,1.8377731602309764,36.234375,0.503385,-66.9375,0.8579700000000001,-52.15625,0.504265,,,-36.882816,830.0,0.50307
0,601808698,10,30,-67.45966,212.3698592185974,0.08626049,16.649720171105432,-91.28126,0.1096541800005477,0.0341331146749116,0.0137,41.33130434782608,2.092799246458961,18.718751907348636,0.5660399999999999,-60.25000381469727,0.5780799999999999,-59.46875381469727,0.56704,-60.25000381469727,0.5780799999999999,-49.84375,40.0,0.56572,2.1133550927349414,18.437502,1.93458,-60.343754,1.94908,-58.343754,1.93562,-60.34375381469727,1.94908,-48.750004,35.875,1.93428,2.080375799397888,20.476562,0.50333,-68.125,0.725025,-60.80469,0.50432,,,-50.78125,260.0,0.5030349999999999
0,601810307,10,44,-64.81024,176.1718988418579,0.27822474,11.044445426357214,-86.3125,0.4344531226174524,0.0233643937670293,0.0393399999999999,73.7723076923077,1.7291165634517456,26.125,0.5665199999999999,-50.59375381469727,0.5673999999999999,-50.53125381469727,0.56732,-48.28125381469727,0.5761000000000001,-32.53125,80.0,0.56622,1.687493853362662,25.593752,4.14108,-48.8125,4.14196,-48.71875,4.14186,-48.09375,4.15184,-31.375002,91.12499,4.14078,1.7548442596188492,27.223959,0.5032266666666666,-66.078125,0.8055133333333333,-52.786465,0.5040633333333333,,,-34.713543,540.0,0.50296
